,,
DOKUMEN DESAIN,,
SKEMA TUGAS BESAR MATA KULIAH RPL 2,,
Dosen,"M. Yusril Helmi Setyawan, S.Kom., M.Kom.",
,,
Bagian Dokumen,Isi yang Harus Dibuat,Tujuan
1. Deskripsi Aplikasi,"Menjelaskan tujuan aplikasi, peran dalam ekosistem, dan stakeholder",Menentukan konteks sistem
2. Use Case / Fitur Utama,Daftar fitur utama sesuai pembagian tugas kelompok,Mengidentifikasi kebutuhan fungsional
3. Diagram Arsitektur,Diagram sederhana (block/graphviz) yang menunjukkan alur sistem,Memahami hubungan antar node
4. Flow Proses (IPO),Menjelaskan Input-Proses-Output tiap fitur utama,Memahami alur logika sistem
5. API Endpoint,"Daftar endpoint API (method, URL, request, response)",Standarisasi komunikasi antar sistem
6. Integrasi SmartBank,Menjelaskan bagaimana aplikasi terhubung ke SmartBank,Menjamin konsistensi ekonomi sistem
7. Desain Database,Tabel utama + relasi sederhana,Struktur penyimpanan data
8. Mekanisme Transaksi,Alur pembayaran dan fee dalam aplikasi,Memahami monetisasi dan flow uang
9. UI Sederhana,Mockup atau screenshot tampilan utama,Visualisasi antarmuka pengguna
10. Skenario Pengujian,Test case sederhana (input vs expected output),Validasi sistem berjalan dengan benar
11. Kendala & Solusi,Masalah yang dihadapi dan cara mengatasinya,Refleksi pembelajaran
12. Dokumentasi Tim,Pembagian tugas anggota kelompok,Transparansi kontribusi